"Antibiotique";"Nb total d'antibiogrammes ";"% Sensibilité"
"Ac. nalidixique";2475;73
"Ac. oxolinique";417;72
"Amoxicilline";3736;16
"Amoxicilline - Ac. clavulanique";3785;35
"Apramycine";2226;94
"Céfalexine";3209;81
"Céfalotine";327;50
"Céfopérazone";658;89
"Céfovécine";105;97
"Céfoxitine";3315;91
"Cefquinome 30 µg";3445;95
"Ceftiofur";3756;98
"Céfuroxime";1449;82
"Chloramphénicol";262;49
"Danofloxacine";660;92
"Doxycycline";204;6
"Enrofloxacine";2977;92
"Florfénicol";2815;71
"Fluméquine";1210;68
"Gentamicine 15 µg";3767;81
"Kanamycine 30 µg";899;36
"Marbofloxacine";2526;93
"Néomycine";2314;48
"Spectinomycine";970;57
"Streptomycine 10 µg";2394;17
"Sulfamides";380;17
"Tétracycline";3489;23
"Triméthoprime";93;43
"Triméthoprime-sulfamides";3780;57
