Country	Year	Animal	SampleOrigin	Pathogen	Species	Nsamples	Compound	Rescom
Hungary	2016	Turkey	Killed_Animal	Salmonella	Kentucky	4	CIP	100
Germany	2016	Turkey	Meat	Ecoli	NA	9	CAZ	100
Italy	2017	Cattle	NA	Ecoli	NA	9	CTX	100
Switzerland	2012	Pig	NA	Staphylococcus	MRSA	72	TET	100
Belgium	2014	Chicken	NA	Staphylococcus	MRSA	1	CIP	100
Belgium	2014	Chicken	NA	Staphylococcus	MRSA	1	CLI	100
Belgium	2014	Chicken	NA	Staphylococcus	MRSA	1	ERY	100
Belgium	2014	Chicken	NA	Staphylococcus	MRSA	1	TET	100
Belgium	2014	Chicken	NA	Staphylococcus	MRSA	1	TMP	100
Switzerland	2014	Pig	NA	Staphylococcus	MRSA	79	TET	100
Switzerland	2015	Cattle	NA	Staphylococcus	MRSA	19	TET	100
Belgium	2015	Cattle	NA	Staphylococcus	MRSA	10	TET	100
Switzerland	2015	PIg	NA	Staphylococcus	MRSA	2	CLI	100
Switzerland	2015	PIg	NA	Staphylococcus	MRSA	2	ERY	100
Switzerland	2015	PIg	NA	Staphylococcus	MRSA	2	Q-D	100
Switzerland	2015	PIg	NA	Staphylococcus	MRSA	2	STR	100
Switzerland	2015	PIg	NA	Staphylococcus	MRSA	2	TET	100
Switzerland	2015	PIg	NA	Staphylococcus	MRSA	2	TIA	100
Switzerland	2015	PIg	NA	Staphylococcus	MRSA	2	TMP	100
Finland	2015	PIg	Meat	Staphylococcus	MRSA	9	CLI	100
Finland	2015	PIg	Meat	Staphylococcus	MRSA	9	TET	100
Portugal	2016	Chicken	Meat	Campylobacter	jejuni	7	CIP	100
Portugal	2016	Chicken	Meat	Campylobacter	jejuni	7	TET	100
Portugal	2016	Chicken	Meat	Campylobacter	coli	11	CIP	100
Portugal	2016	Chicken	Meat	Campylobacter	coli	11	NAL	100
Luxembourg	2016	Turkey	Meat	Campylobacter	jejuni	1	CIP	100
Luxembourg	2016	Turkey	Meat	Campylobacter	jejuni	1	NAL	100
Luxembourg	2016	Turkey	Meat	Campylobacter	jejuni	1	TET	100
Germany	2016	Turkey	Meat	Campylobacter	coli	6	CIP	100
Germany	2016	Turkey	Meat	Campylobacter	coli	6	NAL	100
Luxembourg	2016	Turkey	Meat	Campylobacter	coli	3	CIP	100
Luxembourg	2016	Turkey	Meat	Campylobacter	coli	3	TET	100
Portugal	2016	Turkey	Meat	Campylobacter	coli	1	CIP	100
Portugal	2016	Turkey	Meat	Campylobacter	coli	1	ERY	100
Portugal	2016	Turkey	Meat	Campylobacter	coli	1	NAL	100
Portugal	2016	Turkey	Meat	Campylobacter	coli	1	STR	100
Portugal	2016	Turkey	Meat	Campylobacter	coli	1	TET	100
Total	2016	Turkey	Meat	Campylobacter	coli	10	CIP	100
Portugal	2016	Pig	Meat	Campylobacter	coli	3	STR	100
Luxembourg	2016	Chicken	NA	Campylobacter	coli	12	CIP	100
Luxembourg	2016	Chicken	NA	Campylobacter	coli	12	NAL	100
Luxembourg	2016	Chicken	NA	Campylobacter	coli	12	TET	100
Portugal	2016	Turkey	NA	Campylobacter	jejuni	36	CIP	100
Spain	2016	Turkey	NA	Campylobacter	coli	82	CIP	100
Spain	2016	Turkey	NA	Campylobacter	coli	82	NAL	100
Greece	2016	Chicken	Killed_Animal	Salmonella	NA	2	CIP	100
Slovenia	2016	Chicken	Killed_Animal	Salmonella	NA	17	NAL	100
Slovenia	2016	Chicken	Killed_Animal	Salmonella	NA	17	SMZ	100
Slovenia	2016	Chicken	Killed_Animal	Salmonella	NA	17	TET	100
Hungary	2016	Chicken	Killed_Animal	Salmonella	NA	1	FEP	100
Hungary	2016	Chicken	Killed_Animal	Salmonella	NA	1	FOX	100
Hungary	2016	Chicken	Killed_Animal	Salmonella	NA	1	CAZ	100
Hungary	2016	Chicken	Killed_Animal	Salmonella	NA	1	TEM	100
Netherlands	2016	Chicken	Killed_Animal	Salmonella	NA	1	FEP	100
Netherlands	2016	Chicken	Killed_Animal	Salmonella	NA	1	CTX	100
Netherlands	2016	Chicken	Killed_Animal	Salmonella	NA	1	FOX	100
Netherlands	2016	Chicken	Killed_Animal	Salmonella	NA	1	CAZ	100
Portugal	2016	Chicken	Killed_Animal	Salmonella	NA	13	FEP	100
Portugal	2016	Chicken	Killed_Animal	Salmonella	NA	13	CTX	100
Portugal	2016	Chicken	Killed_Animal	Salmonella	NA	13	CAZ	100
Netherlands	2016	Chicken	Meat	Salmonella	Enteritidis	1	AMP	100
Netherlands	2016	Chicken	Meat	Salmonella	Enteritidis	1	CIP	100
Netherlands	2016	Chicken	Meat	Salmonella	Enteritidis	1	CST	100
Netherlands	2016	Chicken	Meat	Salmonella	Enteritidis	1	NAL	100
Germany	2016	Chicken	Meat	Salmonella	Infantis	11	CIP	100
Germany	2016	Chicken	Meat	Salmonella	Infantis	11	NAL	100
Germany	2016	Chicken	Meat	Salmonella	Infantis	11	SMZ	100
Germany	2016	Chicken	Meat	Salmonella	Infantis	11	TET	100
Italy	2016	Chicken	Meat	Salmonella	Infantis	2	AMP	100
Italy	2016	Chicken	Meat	Salmonella	Infantis	2	CIP	100
Italy	2016	Chicken	Meat	Salmonella	Infantis	2	NAL	100
Italy	2016	Chicken	Meat	Salmonella	Infantis	2	SMZ	100
Italy	2016	Chicken	Meat	Salmonella	Infantis	2	TET	100
Italy	2016	Chicken	Meat	Salmonella	Infantis	2	TMP	100
Netherlands	2016	Chicken	Meat	Salmonella	Infantis	4	CIP	100
Netherlands	2016	Chicken	Meat	Salmonella	Infantis	4	NAL	100
Netherlands	2016	Chicken	Meat	Salmonella	Infantis	4	SMZ	100
Netherlands	2016	Chicken	Meat	Salmonella	Infantis	4	TET	100
Austria	2016	Chicken	Killed_Animal	Salmonella	Infantis	17	CIP	100
Austria	2016	Chicken	Killed_Animal	Salmonella	Infantis	17	NAL	100
Croatia	2016	Chicken	Killed_Animal	Salmonella	Infantis	54	CIP	100
Croatia	2016	Chicken	Killed_Animal	Salmonella	Infantis	54	NAL	100
Cyprus	2016	Chicken	Killed_Animal	Salmonella	Infantis	13	CIP	100
