t,S,I,R
0,259891,1,0
1,259891,1,0
2,259891,1,0
3,259891,1,0
4,259891,1,0
5,259891,1,0
6,259891,1,0
7,259891,1,0
8,259891,1,0
9,259891,5,0
10,259889,2,1
11,259889,2,0
12,259889,2,0
13,259889,2,0
14,259889,2,0
15,259889,2,0
16,259889,1,1
17,259889,1,0
18,259889,1,0
19,259889,1,0
20,259889,1,0
21,259889,1,0
22,259889,1,0
23,259889,1,0
24,259889,1,0
25,259889,1,0
26,259889,1,0
27,259889,0,1
28,259889,0,0
29,259889,0,0
30,259889,0,0
31,259889,0,0
32,259889,0,0
33,259889,0,0
34,259889,0,0
35,259889,0,0
36,259889,0,0
37,259889,0,0
38,259889,0,0
39,259889,0,0
40,259889,0,0
41,259889,0,0
42,259889,0,0
43,259889,0,0
44,259889,0,0
45,259889,0,0
46,259889,0,0
47,259889,0,0
48,259889,0,0
49,259889,0,0
50,259889,0,0
51,259889,0,0
52,259889,0,0
53,259889,0,0
54,259889,0,0
55,259889,0,0
56,259889,0,0
57,259889,0,0
58,259889,0,0
59,259889,0,0
60,259889,0,0
61,259889,0,0
62,259889,0,0
63,259889,0,0
64,259889,0,0
65,259889,0,0
66,259889,0,0
67,259889,0,0
68,259889,0,0
69,259889,0,0
70,259889,0,0
71,259889,0,0
72,259889,0,0
73,259889,0,0
74,259889,0,0
75,259889,0,0
76,259889,0,0
77,259889,0,0
78,259889,0,0
79,259889,0,0
80,259889,0,0
81,259889,0,0
82,259889,0,0
83,259889,0,0
84,259889,0,0
85,259889,0,0
86,259889,0,0
87,259889,0,0
88,259889,0,0
89,259889,0,0
90,259889,0,0
91,259889,0,0
92,259889,0,0
93,259889,0,0
94,259889,0,0
95,259889,0,0
96,259889,0,0
97,259889,0,0
98,259889,0,0
99,259889,0,0
100,259889,0,0
101,259889,0,0
102,259889,0,0
103,259889,0,0
104,259889,0,0
105,259889,0,0
106,259889,0,0
107,259889,0,0
108,259889,0,0
109,259889,0,0
110,259889,0,0
111,259889,0,0
112,259889,0,0
113,259889,0,0
114,259889,0,0
115,259889,0,0
116,259889,0,0
117,259889,0,0
118,259889,0,0
119,259889,0,0
120,259889,0,0
121,259889,0,0
122,259889,0,0
123,259889,0,0
124,259889,0,0
125,259889,0,0
126,259889,0,0
127,259889,0,0
128,259889,0,0
129,259889,0,0
130,259889,0,0
131,259889,0,0
132,259889,0,0
133,259889,0,0
134,259889,0,0
135,259889,0,0
136,259889,0,0
137,259889,0,0
138,259889,0,0
139,259889,0,0
140,259889,0,0
141,259889,0,0
142,259889,0,0
143,259889,0,0
144,259889,0,0
145,259889,0,0
146,259889,0,0
147,259889,0,0
148,259889,0,0
149,259889,0,0
150,259889,0,0
151,259889,0,0
152,259889,0,0
153,259889,0,0
154,259889,0,0
155,259889,0,0
156,259889,0,0
157,259889,0,0
158,259889,0,0
159,259889,0,0
160,259889,0,0
161,259889,0,0
162,259889,0,0
163,259889,0,0
164,259889,0,0
165,259889,0,0
166,259889,0,0
167,259889,0,0
168,259889,0,0
169,259889,0,0
170,259889,0,0
171,259889,0,0
172,259889,0,0
173,259889,0,0
174,259889,0,0
175,259889,0,0
176,259889,0,0
177,259889,0,0
178,259889,0,0
179,259889,0,0
180,259889,0,0
181,259889,0,0
182,259889,0,0
183,259889,0,0
184,259889,0,0
185,259889,0,0
186,259889,0,0
187,259889,0,0
188,259889,0,0
189,259889,0,0
190,259889,0,0
191,259889,0,0
192,259889,0,0
193,259889,0,0
194,259889,0,0
195,259889,0,0
196,259889,0,0
197,259889,0,0
198,259889,0,0
199,259889,0,0
200,259889,0,0
201,259889,0,0
202,259889,0,0
203,259889,0,0
204,259889,0,0
205,259889,0,0
206,259889,0,0
207,259889,0,0
208,259889,0,0
209,259889,0,0
210,259889,0,0
211,259889,0,0
212,259889,0,0
213,259889,0,0
214,259889,0,0
215,259889,0,0
216,259889,0,0
217,259889,0,0
218,259889,0,0
219,259889,0,0
220,259889,0,0
221,259889,0,0
222,259889,0,0
223,259889,0,0
224,259889,0,0
225,259889,0,0
226,259889,0,0
227,259889,0,0
228,259889,0,0
229,259889,0,0
230,259889,0,0
231,259889,0,0
232,259889,0,0
233,259889,0,0
234,259889,0,0
235,259889,0,0
236,259889,0,0
237,259889,0,0
238,259889,0,0
239,259889,0,0
240,259889,0,0
241,259889,0,0
242,259889,0,0
243,259889,0,0
244,259889,0,0
245,259889,0,0
246,259889,0,0
247,259889,0,0
248,259889,0,0
249,259889,0,0
250,259889,0,0
251,259889,0,0
252,259889,0,0
253,259889,0,0
254,259889,0,0
255,259889,0,0
256,259889,0,0
257,259889,0,0
258,259889,0,0
259,259889,0,0
260,259889,0,0
261,259889,0,0
262,259889,0,0
263,259889,0,0
264,259889,0,0
265,259889,0,0
266,259889,0,0
267,259889,0,0
268,259889,0,0
269,259889,0,0
270,259889,0,0
271,259889,0,0
272,259889,0,0
273,259889,0,0
274,259889,0,0
275,259889,0,0
276,259889,0,0
277,259889,0,0
278,259889,0,0
279,259889,0,0
280,259889,0,0
281,259889,0,0
282,259889,0,0
283,259889,0,0
284,259889,0,0
285,259889,0,0
286,259889,0,0
287,259889,0,0
288,259889,0,0
289,259889,0,0
290,259889,0,0
291,259889,0,0
292,259889,0,0
293,259889,0,0
294,259889,0,0
295,259889,0,0
296,259889,0,0
297,259889,0,0
298,259889,0,0
299,259889,0,0
300,259889,0,0
301,259889,0,0
302,259889,0,0
303,259889,0,0
304,259889,0,0
305,259889,0,0
306,259889,0,0
307,259889,0,0
308,259889,0,0
309,259889,0,0
310,259889,0,0
311,259889,0,0
312,259889,0,0
313,259889,0,0
314,259889,0,0
315,259889,0,0
316,259889,0,0
317,259889,0,0
318,259889,0,0
319,259889,0,0
320,259889,0,0
321,259889,0,0
322,259889,0,0
323,259889,0,0
324,259889,0,0
325,259889,0,0
326,259889,0,0
327,259889,0,0
328,259889,0,0
329,259889,0,0
330,259889,0,0
331,259889,0,0
332,259889,0,0
333,259889,0,0
334,259889,0,0
335,259889,0,0
336,259889,0,0
337,259889,0,0
338,259889,0,0
339,259889,0,0
340,259889,0,0
341,259889,0,0
342,259889,0,0
343,259889,0,0
344,259889,0,0
345,259889,0,0
346,259889,0,0
347,259889,0,0
348,259889,0,0
349,259889,0,0
350,259889,0,0
351,259889,0,0
352,259889,0,0
353,259889,0,0
354,259889,0,0
355,259889,0,0
356,259889,0,0
357,259889,0,0
358,259889,0,0
359,259889,0,0
360,259889,0,0
361,259889,0,0
362,259889,0,0
363,259889,0,0
364,259889,0,0
365,259889,0,0
366,259889,0,0
367,259889,0,0
368,259889,0,0
369,259889,0,0
370,259889,0,0
371,259889,0,0
372,259889,0,0
373,259889,0,0
374,259889,0,0
375,259889,0,0
376,259889,0,0
377,259889,0,0
378,259889,0,0
379,259889,0,0
380,259889,0,0
381,259889,0,0
382,259889,0,0
383,259889,0,0
384,259889,0,0
385,259889,0,0
386,259889,0,0
387,259889,0,0
388,259889,0,0
389,259889,0,0
390,259889,0,0
391,259889,0,0
392,259889,0,0
393,259889,0,0
394,259889,0,0
395,259889,0,0
396,259889,0,0
397,259889,0,0
398,259889,0,0
399,259889,0,0
400,259889,0,0
401,259889,0,0
402,259889,0,0
403,259889,0,0
404,259889,0,0
405,259889,0,0
406,259889,0,0
407,259889,0,0
408,259889,0,0
409,259889,0,0
410,259889,0,0
411,259889,0,0
412,259889,0,0
413,259889,0,0
414,259889,0,0
415,259889,0,0
416,259889,0,0
417,259889,0,0
418,259889,0,0
419,259889,0,0
420,259889,0,0
421,259889,0,0
422,259889,0,0
423,259889,0,0
424,259889,0,0
425,259889,0,0
426,259889,0,0
427,259889,0,0
428,259889,0,0
429,259889,0,0
430,259889,0,0
431,259889,0,0
432,259889,0,0
433,259889,0,0
434,259889,0,0
435,259889,0,0
436,259889,0,0
437,259889,0,0
438,259889,0,0
439,259889,0,0
440,259889,0,0
441,259889,0,0
442,259889,0,0
443,259889,0,0
444,259889,0,0
445,259889,0,0
446,259889,0,0
447,259889,0,0
448,259889,0,0
449,259889,0,0
450,259889,0,0
451,259889,0,0
452,259889,0,0
453,259889,0,0
454,259889,0,0
455,259889,0,0
