t,S,I,R
0,259889,3,0
1,259889,3,0
2,259889,3,0
3,259889,2,1
4,259889,1,2
5,259889,1,2
6,259889,1,2
7,259889,1,2
8,259889,1,2
9,259889,0,3
10,259889,0,3
11,259889,0,3
12,259889,0,3
13,259889,0,3
14,259889,0,3
15,259889,0,3
16,259889,0,3
17,259889,0,3
18,259889,0,3
19,259889,0,3
20,259889,0,3
21,259889,0,3
22,259889,0,3
23,259889,0,3
24,259889,0,3
25,259889,0,3
26,259889,0,3
27,259889,0,3
28,259889,0,3
29,259889,0,3
30,259889,0,3
31,259889,0,3
32,259889,0,3
33,259889,0,3
34,259889,0,3
35,259889,0,3
36,259889,0,3
37,259889,0,3
38,259889,0,3
39,259889,0,3
40,259889,0,3
41,259889,0,3
42,259889,0,3
43,259889,0,3
44,259889,0,3
45,259889,0,3
46,259889,0,3
47,259889,0,3
48,259889,0,3
49,259889,0,3
50,259889,0,3
51,259889,0,3
52,259889,0,3
53,259889,0,3
54,259889,0,3
55,259889,0,3
56,259889,0,3
57,259889,0,3
58,259889,0,3
59,259889,0,3
60,259889,0,3
61,259889,0,3
62,259889,0,3
63,259889,0,3
64,259889,0,3
65,259889,0,3
66,259889,0,3
67,259889,0,3
68,259889,0,3
69,259889,0,3
70,259889,0,3
71,259889,0,3
72,259889,0,3
73,259889,0,3
74,259889,0,3
75,259889,0,3
76,259889,0,3
77,259889,0,3
78,259889,0,3
79,259889,0,3
80,259889,0,3
81,259889,0,3
82,259889,0,3
83,259889,0,3
84,259889,0,3
85,259889,0,3
86,259889,0,3
87,259889,0,3
88,259889,0,3
89,259889,0,3
90,259889,0,3
91,259889,0,3
92,259889,0,3
93,259889,0,3
94,259889,0,3
95,259889,0,3
96,259889,0,3
97,259889,0,3
98,259889,0,3
99,259889,0,3
100,259889,0,3
101,259889,0,3
102,259889,0,3
103,259889,0,3
104,259889,0,3
105,259889,0,3
106,259889,0,3
107,259889,0,3
108,259889,0,3
109,259889,0,3
110,259889,0,3
111,259889,0,3
112,259889,0,3
113,259889,0,3
114,259889,0,3
115,259889,0,3
116,259889,0,3
117,259889,0,3
118,259889,0,3
119,259889,0,3
120,259889,0,3
121,259889,0,3
122,259889,0,3
123,259889,0,3
124,259889,0,3
125,259889,0,3
126,259889,0,3
127,259889,0,3
128,259889,0,3
129,259889,0,3
130,259889,0,3
131,259889,0,3
132,259889,0,3
133,259889,0,3
134,259889,0,3
135,259889,0,3
136,259889,0,3
137,259889,0,3
138,259889,0,3
139,259889,0,3
140,259889,0,3
141,259889,0,3
142,259889,0,3
143,259889,0,3
144,259889,0,3
145,259889,0,3
146,259889,0,3
147,259889,0,3
148,259889,0,3
149,259889,0,3
150,259889,0,3
151,259889,0,3
152,259889,0,3
153,259889,0,3
154,259889,0,3
155,259889,0,3
156,259889,0,3
157,259889,0,3
158,259889,0,3
159,259889,0,3
160,259889,0,3
161,259889,0,3
162,259889,0,3
163,259889,0,3
164,259889,0,3
165,259889,0,3
166,259889,0,3
167,259889,0,3
168,259889,0,3
169,259889,0,3
170,259889,0,3
171,259889,0,3
172,259889,0,3
173,259889,0,3
174,259889,0,3
175,259889,0,3
176,259889,0,3
177,259889,0,3
178,259889,0,3
179,259889,0,3
180,259889,0,3
181,259889,0,3
182,259889,0,3
183,259889,0,3
184,259889,0,3
185,259889,0,3
186,259889,0,3
187,259889,0,3
188,259889,0,3
189,259889,0,3
190,259889,0,3
191,259889,0,3
192,259889,0,3
193,259889,0,3
194,259889,0,3
195,259889,0,3
196,259889,0,3
197,259889,0,3
198,259889,0,3
199,259889,0,3
200,259889,0,3
201,259889,0,3
202,259889,0,3
203,259889,0,3
204,259889,0,3
205,259889,0,3
206,259889,0,3
207,259889,0,3
208,259889,0,3
209,259889,0,3
210,259889,0,3
211,259889,0,3
212,259889,0,3
213,259889,0,3
214,259889,0,3
215,259889,0,3
216,259889,0,3
217,259889,0,3
218,259889,0,3
219,259889,0,3
220,259889,0,3
221,259889,0,3
222,259889,0,3
223,259889,0,3
224,259889,0,3
225,259889,0,3
226,259889,0,3
227,259889,0,3
228,259889,0,3
229,259889,0,3
230,259889,0,3
231,259889,0,3
232,259889,0,3
233,259889,0,3
234,259889,0,3
235,259889,0,3
236,259889,0,3
237,259889,0,3
238,259889,0,3
239,259889,0,3
240,259889,0,3
241,259889,0,3
242,259889,0,3
243,259889,0,3
244,259889,0,3
245,259889,0,3
246,259889,0,3
247,259889,0,3
248,259889,0,3
249,259889,0,3
250,259889,0,3
251,259889,0,3
252,259889,0,3
253,259889,0,3
254,259889,0,3
255,259889,0,3
256,259889,0,3
257,259889,0,3
258,259889,0,3
259,259889,0,3
260,259889,0,3
261,259889,0,3
262,259889,0,3
263,259889,0,3
264,259889,0,3
265,259889,0,3
266,259889,0,3
267,259889,0,3
268,259889,0,3
269,259889,0,3
270,259889,0,3
271,259889,0,3
272,259889,0,3
273,259889,0,3
274,259889,0,3
275,259889,0,3
276,259889,0,3
277,259889,0,3
278,259889,0,3
279,259889,0,3
280,259889,0,3
281,259889,0,3
282,259889,0,3
283,259889,0,3
284,259889,0,3
285,259889,0,3
286,259889,0,3
287,259889,0,3
288,259889,0,3
289,259889,0,3
290,259889,0,3
