t,S,I,R
0,259891,1,0
1,259891,1,0
2,259891,1,0
3,259891,1,0
4,259891,1,0
5,259891,1,0
6,259891,1,0
7,259891,1,0
8,259891,1,0
9,259891,1,0
10,259891,1,0
11,259891,1,0
12,259891,1,0
13,259891,1,0
14,259891,1,0
15,259891,1,0
16,259891,1,0
17,259891,1,0
18,259891,1,0
19,259891,1,0
20,259891,1,0
21,259891,1,0
22,259891,1,0
23,259891,1,0
24,259891,1,0
25,259891,1,0
26,259891,1,0
27,259891,1,0
28,259891,1,0
29,259891,1,0
30,259891,1,0
31,259891,1,0
32,259891,1,0
33,259891,1,0
34,259891,1,0
35,259891,1,0
36,259891,1,0
37,259891,1,0
38,259891,1,0
39,259891,1,0
40,259891,1,0
41,259891,1,0
42,259891,1,0
43,259891,1,0
44,259891,1,0
45,259891,1,0
46,259891,1,0
47,259891,1,0
48,259891,1,0
49,259891,1,0
50,259891,1,0
51,259891,1,0
52,259891,1,0
53,259891,1,0
54,259891,1,0
55,259891,1,0
56,259891,1,0
57,259891,1,0
58,259891,1,0
59,259891,1,0
60,259891,1,0
61,259891,1,0
62,259891,1,0
63,259891,1,0
64,259891,1,0
65,259891,1,0
66,259891,1,0
67,259891,1,0
68,259891,1,0
69,259891,1,0
70,259891,1,0
71,259891,1,0
72,259891,1,0
73,259891,1,0
74,259891,1,0
75,259891,1,0
76,259891,1,0
77,259891,1,0
78,259891,1,0
79,259891,1,0
80,259891,1,0
81,259891,1,0
82,259891,1,0
83,259891,1,0
84,259891,1,0
85,259891,1,0
86,259891,1,0
87,259891,1,0
88,259891,1,0
89,259891,1,0
90,259891,1,0
91,259891,1,0
92,259891,1,0
93,259891,1,0
94,259891,1,0
95,259891,1,0
96,259891,1,0
97,259891,1,0
98,259891,1,0
99,259891,1,0
100,259891,1,0
101,259891,1,0
102,259891,1,0
103,259891,1,0
104,259891,1,0
105,259891,1,0
106,259891,1,0
107,259891,1,0
108,259891,1,0
109,259891,1,0
110,259891,1,0
111,259891,1,0
112,259891,1,0
113,259891,1,0
114,259891,1,0
115,259891,1,0
116,259891,1,0
117,259891,1,0
118,259891,1,0
119,259891,1,0
120,259891,1,0
121,259891,1,0
122,259891,1,0
123,259891,1,0
124,259891,1,0
125,259891,1,0
126,259891,1,0
127,259891,1,0
128,259891,1,0
129,259891,1,0
130,259891,1,0
131,259891,1,0
132,259891,1,0
133,259891,1,0
134,259891,1,0
135,259891,1,0
136,259891,1,0
137,259891,1,0
138,259891,1,0
139,259891,1,0
140,259891,1,0
141,259891,1,0
142,259891,1,0
143,259891,1,0
144,259891,1,0
145,259891,1,0
146,259891,1,0
147,259891,1,0
148,259891,1,0
149,259891,1,0
150,259891,1,0
151,259891,1,0
152,259891,1,0
153,259891,1,0
154,259891,1,0
155,259891,1,0
156,259891,1,0
157,259891,1,0
158,259891,1,0
159,259891,1,0
160,259891,1,0
161,259891,1,0
162,259891,1,0
163,259891,1,0
164,259891,1,0
165,259891,1,0
166,259891,1,0
167,259891,1,0
168,259891,1,0
169,259891,1,0
170,259891,1,0
171,259891,1,0
172,259891,1,0
173,259891,1,0
174,259891,1,0
175,259891,1,0
176,259891,1,0
177,259891,1,0
178,259891,1,0
179,259891,1,0
180,259891,1,0
181,259891,1,0
182,259891,1,0
183,259891,1,0
184,259891,1,0
185,259891,1,0
186,259891,1,0
187,259891,1,0
188,259891,1,0
189,259891,1,0
190,259891,1,0
191,259891,1,0
192,259891,1,0
193,259891,1,0
194,259891,1,0
195,259891,1,0
196,259891,1,0
197,259891,1,0
198,259891,1,0
199,259891,1,0
200,259891,1,0
201,259891,1,0
202,259891,1,0
203,259891,1,0
204,259891,1,0
205,259891,1,0
206,259891,1,0
207,259891,1,0
208,259891,1,0
209,259891,1,0
210,259891,1,0
211,259891,1,0
212,259891,1,0
213,259891,1,0
214,259891,1,0
215,259891,1,0
216,259891,1,0
217,259891,1,0
218,259891,1,0
219,259891,1,0
220,259891,1,0
221,259891,1,0
222,259891,1,0
223,259891,1,0
224,259891,1,0
225,259891,1,0
226,259891,1,0
227,259891,1,0
228,259891,1,0
229,259891,1,0
230,259891,1,0
231,259891,1,0
232,259891,1,0
233,259891,1,0
234,259891,1,0
235,259891,1,0
236,259891,1,0
237,259891,1,0
238,259891,1,0
239,259891,1,0
240,259891,1,0
241,259891,1,0
242,259891,1,0
243,259891,1,0
244,259891,1,0
245,259891,1,0
246,259891,1,0
247,259891,1,0
248,259891,1,0
249,259891,1,0
250,259891,1,0
251,259891,1,0
252,259891,1,0
253,259891,1,0
254,259891,1,0
255,259891,1,0
256,259891,1,0
257,259891,1,0
258,259891,1,0
259,259891,1,0
260,259891,1,0
261,259891,1,0
262,259891,1,0
263,259891,1,0
264,259891,1,0
265,259891,1,0
266,259891,1,0
267,259891,1,0
268,259891,1,0
269,259891,1,0
270,259891,1,0
271,259891,1,0
272,259891,1,0
273,259891,1,0
274,259891,1,0
275,259891,1,0
276,259891,1,0
277,259891,1,0
278,259891,1,0
279,259891,1,0
280,259891,1,0
281,259891,1,0
282,259891,1,0
283,259891,1,0
284,259891,1,0
285,259891,1,0
286,259891,1,0
287,259891,1,0
288,259891,1,0
289,259891,1,0
290,259891,1,0
291,259891,1,0
292,259891,1,0
293,259891,1,0
294,259891,1,0
295,259891,1,0
296,259891,1,0
297,259891,1,0
298,259891,1,0
299,259891,1,0
300,259891,1,0
301,259891,1,0
302,259891,1,0
303,259891,1,0
304,259891,1,0
305,259891,1,0
306,259891,1,0
307,259891,1,0
308,259891,1,0
309,259891,1,0
310,259891,1,0
311,259891,1,0
312,259891,1,0
313,259891,1,0
314,259891,1,0
315,259891,1,0
316,259891,1,0
317,259891,1,0
318,259891,1,0
319,259891,1,0
320,259891,1,0
321,259891,1,0
322,259891,1,0
323,259891,1,0
324,259891,1,0
325,259891,1,0
326,259891,1,0
327,259891,1,0
328,259891,1,0
329,259891,1,0
330,259891,1,0
331,259891,1,0
332,259891,1,0
333,259891,1,0
334,259891,1,0
335,259891,1,0
336,259891,1,0
337,259891,1,0
338,259891,1,0
339,259891,1,0
340,259891,1,0
341,259891,1,0
342,259891,1,0
343,259891,1,0
344,259891,1,0
345,259891,1,0
346,259891,1,0
347,259891,1,0
348,259891,1,0
349,259891,1,0
350,259891,1,0
351,259891,1,0
352,259891,1,0
353,259891,1,0
354,259891,1,0
355,259891,1,0
356,259891,1,0
357,259891,1,0
358,259891,1,0
359,259891,1,0
360,259891,1,0
361,259891,1,0
362,259891,1,0
363,259891,1,0
364,259891,1,0
365,259891,1,0
366,259891,1,0
367,259891,1,0
368,259891,1,0
369,259891,1,0
370,259891,1,0
371,259891,1,0
372,259891,1,0
373,259891,1,0
374,259891,1,0
375,259891,1,0
376,259891,1,0
377,259891,1,0
378,259891,1,0
379,259891,1,0
380,259891,1,0
381,259891,1,0
382,259891,1,0
383,259891,1,0
384,259891,1,0
385,259891,1,0
386,259891,1,0
387,259891,1,0
388,259891,1,0
389,259891,1,0
390,259891,1,0
391,259891,1,0
392,259891,1,0
393,259891,1,0
394,259891,1,0
395,259891,1,0
396,259891,1,0
397,259891,1,0
398,259891,1,0
399,259891,1,0
400,259891,1,0
401,259891,1,0
402,259891,1,0
403,259891,1,0
404,259891,1,0
405,259891,1,0
406,259891,1,0
407,259891,1,0
408,259891,1,0
409,259891,1,0
410,259891,1,0
411,259891,1,0
412,259891,1,0
413,259891,1,0
414,259891,1,0
415,259891,1,0
416,259891,1,0
417,259891,1,0
418,259891,1,0
419,259891,1,0
420,259891,1,0
421,259891,1,0
422,259891,1,0
423,259891,1,0
424,259891,1,0
425,259891,1,0
426,259891,1,0
427,259891,1,0
428,259891,1,0
429,259891,1,0
430,259891,1,0
431,259891,1,0
432,259891,1,0
433,259891,1,0
434,259891,1,0
435,259891,1,0
436,259891,1,0
437,259891,1,0
438,259891,1,0
439,259891,1,0
440,259891,1,0
441,259891,1,0
442,259891,1,0
443,259891,1,0
444,259891,1,0
445,259891,1,0
446,259891,1,0
447,259891,1,0
448,259891,1,0
449,259891,1,0
450,259891,1,0
451,259891,1,0
452,259891,1,0
453,259891,1,0
454,259891,1,0
455,259891,1,0
